,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Date,Time,line_revenue
712,489533,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,2009-12-01 12:02:00,16.95,16011.0,United Kingdom,2009-12-01,12:02:00,16.95
715,489533,21353,SILVER SLEIGHBELL  WREATH,4,2009-12-01 12:02:00,7.95,16011.0,United Kingdom,2009-12-01,12:02:00,31.8
876,489537,21777,RECIPE BOX WITH METAL HEART,4,2009-12-01 12:14:00,7.95,14040.0,United Kingdom,2009-12-01,12:14:00,31.8
881,489537,21737,SET 3 WICKER LOG BASKETS,1,2009-12-01 12:14:00,19.95,14040.0,United Kingdom,2009-12-01,12:14:00,19.95
968,489545,90062,CARNIVAL BRACELET,1,2009-12-01 12:22:00,12.75,17804.0,United Kingdom,2009-12-01,12:22:00,12.75
1002,489546,84782A,PINK 3 TIER GLASS PLATE STAND,2,2009-12-01 12:30:00,12.75,14156.0,EIRE,2009-12-01,12:30:00,25.5
1003,489546,84782C,GREEN 3 TIER GLASS PLATE STAND,1,2009-12-01 12:30:00,12.75,14156.0,EIRE,2009-12-01,12:30:00,12.75
1007,489546,22169,FAMILY ALBUM WHITE PICTURE FRAME,4,2009-12-01 12:30:00,8.5,14156.0,EIRE,2009-12-01,12:30:00,34.0
1012,489546,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-01 12:30:00,10.75,14156.0,EIRE,2009-12-01,12:30:00,43.0
1040,489546,21781,MA CAMPAGNE CUTLERY BOX,1,2009-12-01 12:30:00,14.95,14156.0,EIRE,2009-12-01,12:30:00,14.95
1113,489550,84968C,S/16 VINTAGE PISTACHIO CUTLERY,4,2009-12-01 12:33:00,12.75,14156.0,EIRE,2009-12-01,12:33:00,51.0
1114,489550,84968F,S/16 VINTAGE SKY BLUE CUTLERY,2,2009-12-01 12:33:00,12.75,14156.0,EIRE,2009-12-01,12:33:00,25.5
1115,489550,84968B,S/16 VINTAGE IVORY CUTLERY,2,2009-12-01 12:33:00,12.75,14156.0,EIRE,2009-12-01,12:33:00,25.5
1118,489550,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,2009-12-01 12:33:00,9.95,14156.0,EIRE,2009-12-01,12:33:00,39.8
1130,489550,20747,PICCADILLY TEA SET,2,2009-12-01 12:33:00,14.95,14156.0,EIRE,2009-12-01,12:33:00,29.9
1131,489550,37500,TEA TIME TEAPOT IN GIFT BOX,2,2009-12-01 12:33:00,9.95,14156.0,EIRE,2009-12-01,12:33:00,19.9
1135,489552,35400,WOODEN BOX ADVENT CALENDAR ,1,2009-12-01 12:36:00,8.95,17063.0,United Kingdom,2009-12-01,12:36:00,8.95
1177,489556,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2009-12-01 12:47:00,9.95,15719.0,United Kingdom,2009-12-01,12:47:00,19.9
1182,489556,21217,RED SPOTTY ROUND CAKE TINS,2,2009-12-01 12:47:00,9.95,15719.0,United Kingdom,2009-12-01,12:47:00,19.9
1200,489556,21621,VINTAGE UNION JACK BUNTING,1,2009-12-01 12:47:00,8.5,15719.0,United Kingdom,2009-12-01,12:47:00,8.5
1208,489556,20750, RED/WHITE DOT MINI CASES,1,2009-12-01 12:47:00,7.95,15719.0,United Kingdom,2009-12-01,12:47:00,7.95
1213,489556,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2009-12-01 12:47:00,7.95,15719.0,United Kingdom,2009-12-01,12:47:00,15.9
1214,489556,84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,1,2009-12-01 12:47:00,12.75,15719.0,United Kingdom,2009-12-01,12:47:00,12.75
1244,489557,POST,POSTAGE,4,2009-12-01 12:52:00,18.0,12490.0,France,2009-12-01,12:52:00,72.0
1255,489559,22415,WHITE TISSUE REAM,2,2009-12-01 12:55:00,7.95,17056.0,United Kingdom,2009-12-01,12:55:00,15.9
1323,489562,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2009-12-01 13:07:00,8.5,17998.0,United Kingdom,2009-12-01,13:07:00,8.5
1330,489562,21344,MOROCCAN BEATEN METAL DISH,1,2009-12-01 13:07:00,9.95,17998.0,United Kingdom,2009-12-01,13:07:00,9.95
1332,489562,21477,STRING OF 20 ROSE LIGHTS,1,2009-12-01 13:07:00,12.75,17998.0,United Kingdom,2009-12-01,13:07:00,12.75
1341,489562,84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,1,2009-12-01 13:07:00,12.75,17998.0,United Kingdom,2009-12-01,13:07:00,12.75
1343,489562,84648,NEW BAROQUE WALL MIRROR,1,2009-12-01 13:07:00,12.75,17998.0,United Kingdom,2009-12-01,13:07:00,12.75
1344,489562,84472,PINK AND LILAC QUILTED THROW ,1,2009-12-01 13:07:00,45.95,17998.0,United Kingdom,2009-12-01,13:07:00,45.95
1379,489566,22172,METAL SHELF WITH RAIL ,2,2009-12-01 13:16:00,8.5,17742.0,United Kingdom,2009-12-01,13:16:00,17.0
1380,489566,22282,12 EGG HOUSE PAINTED WOOD,4,2009-12-01 13:16:00,12.75,17742.0,United Kingdom,2009-12-01,13:16:00,51.0
1381,489566,85067,CREAM SWEETHEART WALL CABINET,2,2009-12-01 13:16:00,18.95,17742.0,United Kingdom,2009-12-01,13:16:00,37.9
1382,489566,21299,EDWARDIAN TOILET ROLL UNIT ,2,2009-12-01 13:16:00,12.75,17742.0,United Kingdom,2009-12-01,13:16:00,25.5
1385,489567,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,2,2009-12-01 13:19:00,16.95,15326.0,United Kingdom,2009-12-01,13:19:00,33.9
1401,489567,85162A,SILVER RETRODISC LAMPSHADE,1,2009-12-01 13:19:00,9.95,15326.0,United Kingdom,2009-12-01,13:19:00,9.95
1402,489567,21761,WOOD AND GLASS MEDICINE CABINET,1,2009-12-01 13:19:00,29.95,15326.0,United Kingdom,2009-12-01,13:19:00,29.95
1405,489569,22415,WHITE TISSUE REAM,1,2009-12-01 13:20:00,7.95,14478.0,United Kingdom,2009-12-01,13:20:00,7.95
1407,489569,84706C,PINK FLOCK TABLE CLOCK ,1,2009-12-01 13:20:00,8.95,14478.0,United Kingdom,2009-12-01,13:20:00,8.95
1412,489569,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1,2009-12-01 13:20:00,9.95,14478.0,United Kingdom,2009-12-01,13:20:00,9.95
1443,489571,84813,SET OF 4 DIAMOND NAPKIN RINGS,2,2009-12-01 13:29:00,12.75,15967.0,United Kingdom,2009-12-01,13:29:00,25.5
1450,489571,21621,VINTAGE UNION JACK BUNTING,2,2009-12-01 13:29:00,8.5,15967.0,United Kingdom,2009-12-01,13:29:00,17.0
1462,489572,22415,WHITE TISSUE REAM,1,2009-12-01 13:29:00,7.95,17611.0,United Kingdom,2009-12-01,13:29:00,7.95
1554,489572,85028L,FRENCH CHATEAU LARGE FRUIT BOWL ,2,2009-12-01 13:29:00,7.95,17611.0,United Kingdom,2009-12-01,13:29:00,15.9
1620,489574,22215,CAKE STAND WHITE TWO TIER LACE,2,2009-12-01 13:31:00,8.5,13097.0,United Kingdom,2009-12-01,13:31:00,17.0
1653,489575,22415,WHITE TISSUE REAM,1,2009-12-01 13:37:00,7.95,13590.0,United Kingdom,2009-12-01,13:37:00,7.95
1655,489575,22215,CAKE STAND WHITE TWO TIER LACE,2,2009-12-01 13:37:00,8.5,13590.0,United Kingdom,2009-12-01,13:37:00,17.0
1668,489576,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,2009-12-01 13:38:00,16.95,15984.0,United Kingdom,2009-12-01,13:38:00,16.95
1672,489576,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,5,2009-12-01 13:38:00,7.95,15984.0,United Kingdom,2009-12-01,13:38:00,39.75
1682,489576,35400,WOODEN BOX ADVENT CALENDAR ,1,2009-12-01 13:38:00,8.95,15984.0,United Kingdom,2009-12-01,13:38:00,8.95
1707,489579,85136C,RED SHARK HELICOPTER,1,2009-12-01 13:41:00,7.95,16887.0,United Kingdom,2009-12-01,13:41:00,7.95
1709,489579,21217,RED SPOTTY ROUND CAKE TINS,1,2009-12-01 13:41:00,9.95,16887.0,United Kingdom,2009-12-01,13:41:00,9.95
1731,489582,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 13:47:00,8.95,14543.0,United Kingdom,2009-12-01,13:47:00,17.9
1733,489582,21768,WALL MOUNTED VINTAGE ORGANISER,1,2009-12-01 13:47:00,14.95,14543.0,United Kingdom,2009-12-01,13:47:00,14.95
1734,489582,21477,STRING OF 20 ROSE LIGHTS,2,2009-12-01 13:47:00,12.75,14543.0,United Kingdom,2009-12-01,13:47:00,25.5
1735,489582,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2009-12-01 13:47:00,7.95,14543.0,United Kingdom,2009-12-01,13:47:00,15.9
1749,489584,21335,LIBRARY LAMP,1,2009-12-01 13:48:00,21.95,18037.0,United Kingdom,2009-12-01,13:48:00,21.95
1773,489590,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1,2009-12-01 14:14:00,8.5,13110.0,United Kingdom,2009-12-01,14:14:00,8.5
1774,489590,22283,6 EGG HOUSE PAINTED WOOD,2,2009-12-01 14:14:00,7.95,13110.0,United Kingdom,2009-12-01,14:14:00,15.9
1779,489590,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 14:14:00,8.95,13110.0,United Kingdom,2009-12-01,14:14:00,17.9
1781,489590,21735,TWO DOOR CURIO CABINET,2,2009-12-01 14:14:00,12.75,13110.0,United Kingdom,2009-12-01,14:14:00,25.5
1787,489590,22120,WELCOME  WOODEN BLOCK LETTERS,2,2009-12-01 14:14:00,9.95,13110.0,United Kingdom,2009-12-01,14:14:00,19.9
1796,489593,21761,WOOD AND GLASS MEDICINE CABINET,1,2009-12-01 14:19:00,29.95,12836.0,United Kingdom,2009-12-01,14:19:00,29.95
1798,489593,85067,CREAM SWEETHEART WALL CABINET,1,2009-12-01 14:19:00,18.95,12836.0,United Kingdom,2009-12-01,14:19:00,18.95
1804,489593,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-01 14:19:00,10.75,12836.0,United Kingdom,2009-12-01,14:19:00,43.0
1807,489593,21257,VICTORIAN SEWING BOX MEDIUM,2,2009-12-01 14:19:00,7.95,12836.0,United Kingdom,2009-12-01,14:19:00,15.9
1808,489593,21767,FRENCH STYLE WIRE DOOR CABINET ,1,2009-12-01 14:19:00,29.95,12836.0,United Kingdom,2009-12-01,14:19:00,29.95
1809,489593,85068,CREAM SWEETHEART SHELF + HOOKS,1,2009-12-01 14:19:00,7.95,12836.0,United Kingdom,2009-12-01,14:19:00,7.95
1810,489593,21768,WALL MOUNTED VINTAGE ORGANISER,1,2009-12-01 14:19:00,14.95,12836.0,United Kingdom,2009-12-01,14:19:00,14.95
1811,489593,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2009-12-01 14:19:00,8.5,12836.0,United Kingdom,2009-12-01,14:19:00,17.0
1822,489593,21257,VICTORIAN SEWING BOX MEDIUM,2,2009-12-01 14:19:00,7.95,12836.0,United Kingdom,2009-12-01,14:19:00,15.9
1860,489594,37503,TEA TIME CAKE STAND IN GIFT BOX,1,2009-12-01 14:19:00,10.75,15005.0,United Kingdom,2009-12-01,14:19:00,10.75
1861,489594,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2009-12-01 14:19:00,9.95,15005.0,United Kingdom,2009-12-01,14:19:00,19.9
2381,489598,22180,RETRO SPOT LAMP,1,2009-12-01 14:35:00,9.95,16620.0,United Kingdom,2009-12-01,14:35:00,9.95
2442,489599,20749,ASSORTED COLOUR MINI CASES,2,2009-12-01 14:40:00,7.95,12758.0,Portugal,2009-12-01,14:40:00,15.9
2454,489599,82081,PINK HEARTS PHOTO ALBUM,2,2009-12-01 14:40:00,8.5,12758.0,Portugal,2009-12-01,14:40:00,17.0
2465,489599,21527,RETRO SPOT TRADITIONAL TEAPOT ,4,2009-12-01 14:40:00,7.95,12758.0,Portugal,2009-12-01,14:40:00,31.8
2466,489599,21843,RETRO SPOT CAKE STAND,6,2009-12-01 14:40:00,10.95,12758.0,Portugal,2009-12-01,14:40:00,65.69999999999999
2772,489613,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2009-12-01 14:56:00,12.75,13585.0,United Kingdom,2009-12-01,14:56:00,12.75
2846,489617,21685,MEDINA STAMPED METAL TRAY ,2,2009-12-01 14:59:00,14.95,13442.0,United Kingdom,2009-12-01,14:59:00,29.9
2847,489617,84472,PINK AND LILAC QUILTED THROW ,1,2009-12-01 14:59:00,45.95,13442.0,United Kingdom,2009-12-01,14:59:00,45.95
2870,489635,47570B,TEA TIME TABLE CLOTH,2,2009-12-01 15:26:00,10.65,16763.0,United Kingdom,2009-12-01,15:26:00,21.3
2883,489635,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2009-12-01 15:26:00,7.95,16763.0,United Kingdom,2009-12-01,15:26:00,15.9
2885,489635,20750, RED/WHITE DOT MINI CASES,4,2009-12-01 15:26:00,7.95,16763.0,United Kingdom,2009-12-01,15:26:00,31.8
2913,489637,21795,SET OF 3 BLUE STRIPE BASKET,3,2009-12-01 15:36:00,12.75,17243.0,United Kingdom,2009-12-01,15:36:00,38.25
2914,489637,21796,SET OF 3 RED STRIPE BASKETS,3,2009-12-01 15:36:00,12.75,17243.0,United Kingdom,2009-12-01,15:36:00,38.25
2923,489640,22172,METAL SHELF WITH RAIL ,1,2009-12-01 16:17:00,8.5,17345.0,United Kingdom,2009-12-01,16:17:00,8.5
2954,489641,37503,TEA TIME CAKE STAND IN GIFT BOX,2,2009-12-01 16:18:00,10.75,13819.0,United Kingdom,2009-12-01,16:18:00,21.5
3002,489644,21621,VINTAGE UNION JACK BUNTING,7,2009-12-01 16:30:00,8.5,15808.0,United Kingdom,2009-12-01,16:30:00,59.5
3025,489645,21621,VINTAGE UNION JACK BUNTING,1,2009-12-01 16:34:00,8.5,17191.0,United Kingdom,2009-12-01,16:34:00,8.5
3091,489654,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2009-12-01 17:19:00,12.75,15750.0,United Kingdom,2009-12-01,17:19:00,12.75
3092,489654,22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",1,2009-12-01 17:19:00,9.95,15750.0,United Kingdom,2009-12-01,17:19:00,9.95
3095,489654,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2009-12-01 17:19:00,7.95,15750.0,United Kingdom,2009-12-01,17:19:00,15.9
3147,489658,22193,RED DINER WALL CLOCK,4,2009-12-01 17:31:00,8.5,15485.0,United Kingdom,2009-12-01,17:31:00,34.0
3148,489658,22191,EAU DE NIL DINER WALL CLOCK,3,2009-12-01 17:31:00,8.5,15485.0,United Kingdom,2009-12-01,17:31:00,25.5
3150,489658,22192,BLUE DINER WALL CLOCK,2,2009-12-01 17:31:00,8.5,15485.0,United Kingdom,2009-12-01,17:31:00,17.0
3160,489658,22194,BLACK DINER WALL CLOCK,6,2009-12-01 17:31:00,8.5,15485.0,United Kingdom,2009-12-01,17:31:00,51.0
3169,489664,21737,SET 3 WICKER LOG BASKETS,1,2009-12-01 18:03:00,19.95,14061.0,United Kingdom,2009-12-01,18:03:00,19.95
3179,489664,84358,FLOOR LAMP SHADE WOOD BASE,12,2009-12-01 18:03:00,8.49,14061.0,United Kingdom,2009-12-01,18:03:00,101.88
3218,489668,22192,BLUE DINER WALL CLOCK,2,2009-12-01 19:19:00,8.5,16701.0,United Kingdom,2009-12-01,19:19:00,17.0
3219,489668,22193,RED DINER WALL CLOCK,4,2009-12-01 19:19:00,8.5,16701.0,United Kingdom,2009-12-01,19:19:00,34.0
3226,489670,21527,RETRO SPOT TRADITIONAL TEAPOT ,4,2009-12-02 08:16:00,7.95,14302.0,United Kingdom,2009-12-02,08:16:00,31.8
3247,489672,21843,RETRO SPOT CAKE STAND,6,2009-12-02 09:21:00,10.95,14831.0,United Kingdom,2009-12-02,09:21:00,65.69999999999999
3250,489672,21527,RETRO SPOT TRADITIONAL TEAPOT ,4,2009-12-02 09:21:00,7.95,14831.0,United Kingdom,2009-12-02,09:21:00,31.8
3252,489672,21217,RED SPOTTY ROUND CAKE TINS,4,2009-12-02 09:21:00,9.95,14831.0,United Kingdom,2009-12-02,09:21:00,39.8
3261,489672,79072,TEATIME CAKE TIN WITH HANDLE,4,2009-12-02 09:21:00,9.95,14831.0,United Kingdom,2009-12-02,09:21:00,39.8
3266,489672,37503,TEA TIME CAKE STAND IN GIFT BOX,8,2009-12-02 09:21:00,10.75,14831.0,United Kingdom,2009-12-02,09:21:00,86.0
3321,489678,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2009-12-02 09:57:00,12.75,16823.0,United Kingdom,2009-12-02,09:57:00,12.75
3338,489679,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2009-12-02 10:00:00,7.95,16163.0,United Kingdom,2009-12-02,10:00:00,15.9
3340,489679,21843,RETRO SPOT CAKE STAND,1,2009-12-02 10:00:00,10.95,16163.0,United Kingdom,2009-12-02,10:00:00,10.95
3342,489679,22184,CAKE STAND VICTORIAN FILIGREE LARGE,2,2009-12-02 10:00:00,8.5,16163.0,United Kingdom,2009-12-02,10:00:00,17.0
3347,489679,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2009-12-02 10:00:00,8.5,16163.0,United Kingdom,2009-12-02,10:00:00,17.0
3350,489679,21299,EDWARDIAN TOILET ROLL UNIT ,1,2009-12-02 10:00:00,12.75,16163.0,United Kingdom,2009-12-02,10:00:00,12.75
3352,489679,84371,BIG PINK POODLE,1,2009-12-02 10:00:00,19.95,16163.0,United Kingdom,2009-12-02,10:00:00,19.95
3366,489679,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6,2009-12-02 10:00:00,7.95,16163.0,United Kingdom,2009-12-02,10:00:00,47.7
3371,489679,84795C,OCEAN STRIPE HAMMOCK ,2,2009-12-02 10:00:00,7.95,16163.0,United Kingdom,2009-12-02,10:00:00,15.9
3372,489679,21304,ARCHED GREY MIRROR,1,2009-12-02 10:00:00,12.75,16163.0,United Kingdom,2009-12-02,10:00:00,12.75
3375,489679,21258,VICTORIAN SEWING BOX LARGE,1,2009-12-02 10:00:00,12.75,16163.0,United Kingdom,2009-12-02,10:00:00,12.75
3378,489679,21735,TWO DOOR CURIO CABINET,2,2009-12-02 10:00:00,12.75,16163.0,United Kingdom,2009-12-02,10:00:00,25.5
3379,489679,21752,GLASS CAKE STAND MIRRORED BASE,1,2009-12-02 10:00:00,14.95,16163.0,United Kingdom,2009-12-02,10:00:00,14.95
3382,489681,35651,VINTAGE BEAD PINK SCARF ,1,2009-12-02 10:02:00,7.95,17998.0,United Kingdom,2009-12-02,10:02:00,7.95
3435,489683,21359,RELAX LARGE WOOD LETTERS,2,2009-12-02 10:09:00,15.95,16131.0,United Kingdom,2009-12-02,10:09:00,31.9
3443,489684,21217,RED SPOTTY ROUND CAKE TINS,5,2009-12-02 10:15:00,9.95,14560.0,United Kingdom,2009-12-02,10:15:00,49.75
3447,489684,37449,CERAMIC CAKE STAND + HANGING CAKES,4,2009-12-02 10:15:00,9.95,14560.0,United Kingdom,2009-12-02,10:15:00,39.8
3448,489684,21843,RETRO SPOT CAKE STAND,6,2009-12-02 10:15:00,10.95,14560.0,United Kingdom,2009-12-02,10:15:00,65.69999999999999
3450,489684,22215,CAKE STAND WHITE TWO TIER LACE,2,2009-12-02 10:15:00,8.5,14560.0,United Kingdom,2009-12-02,10:15:00,17.0
3470,489695,22415,WHITE TISSUE REAM,1,2009-12-02 10:48:00,7.95,16202.0,United Kingdom,2009-12-02,10:48:00,7.95
3476,489695,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,2009-12-02 10:48:00,9.95,16202.0,United Kingdom,2009-12-02,10:48:00,39.8
3500,489699,85132C,CHARLIE AND LOLA FIGURES TINS,1,2009-12-02 10:51:00,9.95,16700.0,United Kingdom,2009-12-02,10:51:00,9.95
3507,489699,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2009-12-02 10:51:00,7.95,16700.0,United Kingdom,2009-12-02,10:51:00,15.9
3513,489702,85065,CREAM SWEETHEART TRAYS,10,2009-12-02 10:52:00,9.95,17511.0,United Kingdom,2009-12-02,10:52:00,99.5
3530,489702,21217,RED SPOTTY ROUND CAKE TINS,12,2009-12-02 10:52:00,8.95,17511.0,United Kingdom,2009-12-02,10:52:00,107.39999999999999
3536,489702,21477,STRING OF 20 ROSE LIGHTS,20,2009-12-02 10:52:00,10.95,17511.0,United Kingdom,2009-12-02,10:52:00,219.0
3544,489723,22415,WHITE TISSUE REAM,2,2009-12-02 10:58:00,7.95,14299.0,United Kingdom,2009-12-02,10:58:00,15.9
3585,489743,84562B,BLUE/WHITE RIBBED MELAMINE JUG,2,2009-12-02 11:24:00,7.95,16550.0,United Kingdom,2009-12-02,11:24:00,15.9
3618,489748,84078A,SET/4 WHITE RETRO STORAGE CUBES ,12,2009-12-02 11:26:00,34.95,12980.0,United Kingdom,2009-12-02,11:26:00,419.40000000000003
3635,489765,21843,RETRO SPOT CAKE STAND,2,2009-12-02 11:33:00,10.95,15353.0,United Kingdom,2009-12-02,11:33:00,21.9
3636,489765,22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",2,2009-12-02 11:33:00,9.95,15353.0,United Kingdom,2009-12-02,11:33:00,19.9
3637,489765,22172,METAL SHELF WITH RAIL ,1,2009-12-02 11:33:00,8.5,15353.0,United Kingdom,2009-12-02,11:33:00,8.5
3639,489765,21527,RETRO SPOT TRADITIONAL TEAPOT ,1,2009-12-02 11:33:00,7.95,15353.0,United Kingdom,2009-12-02,11:33:00,7.95
3640,489765,22191,EAU DE NIL DINER WALL CLOCK,1,2009-12-02 11:33:00,8.5,15353.0,United Kingdom,2009-12-02,11:33:00,8.5
3641,489765,22192,BLUE DINER WALL CLOCK,1,2009-12-02 11:33:00,8.5,15353.0,United Kingdom,2009-12-02,11:33:00,8.5
3674,489765,21257,VICTORIAN SEWING BOX MEDIUM,1,2009-12-02 11:33:00,7.95,15353.0,United Kingdom,2009-12-02,11:33:00,7.95
3675,489765,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1,2009-12-02 11:33:00,8.5,15353.0,United Kingdom,2009-12-02,11:33:00,8.5
